title,year,km,price,fuel,transmission,power,body_type,listing_date,url,search_query,search_page
"Škoda Kodiaq Platinum 2.0 TDI 142,00 kW 7-stup. automat. 4x4",2026.0,5912.0,51299,Diesel,7-gear automatic,142.0,SUV,2026-07-16T14:39:38.810Z,https://www.autobazar.eu/detail/skoda-kodiaq-platinum-20-tdi-14200-kw-7-stup-automat-4x4/AejfQS6pB7H/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2022.0,144809.0,24490,Diesel,7-st. automatická,110.0,SUV,2026-08-10T06:10:25.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmW-qgoqZoc/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG,2022.0,181443.0,27400,Diesel,7-st. automatická,110.0,SUV,2026-08-08T05:44:43.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg/Am0Zpig72QL/,Škoda Kodiaq 2.0 TDI,3
"Škoda Kodiaq 2.0 TDI 4x4 DSG Ambition, Slovenské vozidlo",2022.0,230230.0,19999,Diesel,7-st. automatická,110.0,SUV,2026-08-07T11:01:07.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-4x4-dsg-ambition-slovenske-vozidlo/AmM31DWBiX-/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR Ambition DSG,2021.0,101980.0,23999,Diesel,7-st. automatická,110.0,SUV,2026-08-07T08:10:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg/Am9Ned_LLSf/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,2022.0,143600.0,33990,Diesel,7-st. automatická,147.0,SUV,2026-08-10T18:31:17.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmTh_nZrSoP/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,2022.0,117731.0,31999,Diesel,7-st. automatická,147.0,SUV,2026-08-06T09:51:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmhzqLbx-PE/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / 7-míst / Tažné zařízení / Panorama / Matrix-Beam ...,2023.0,121772.0,29992,Diesel,Automatická,147.0,SUV,2026-08-09T09:10:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-7-mist-tazne-zarizeni-panorama-matrix-beam/AmlzFENNXw2/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq Style 2.0 TDI 140kW 4x4 DSG / Webasto / Tažné / Canton / 360° kamera / DCC / Vy...,2017.0,253134.0,16048,Diesel,Automatická,140.0,SUV,2026-08-08T10:27:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-140kw-4x4-dsg-webasto-tazne-canton-360-kamera-dcc-vy/AmrQoxhCzAX/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR Style DSG,2018.0,163000.0,18850,Diesel,7-st. automatická,110.0,SUV,2026-08-10T05:18:35.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg/AmWbX_WmpTX/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2022.0,176000.0,19900,Diesel,7-st. automatická,110.0,SUV,2026-08-07T07:20:20.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/Am3O40l21Zv/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2023.0,89900.0,23500,Diesel,7-st. automatická,110.0,SUV,2026-08-08T10:52:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmzmHM4IoTV/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0Tdi Top stav 1 majiteľ Virtual 4x4 Nezávislé kurenie,2022.0,122000.0,24500,Diesel,7-st. automatická,110.0,SUV,2026-08-08T10:52:14.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-top-stav-1-majitel-virtual-4x4/AmKE8SAyoq9/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI L&K 110KW EVO 360•/Webasto/Matrix/Ťažné/Ventilovane/Masáž/Samopark,2022.0,152000.0,28800,Diesel,7-st. automatická,110.0,SUV,2026-08-10T20:15:52.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-landk-4x4-110kw-evo-tazne-360-vetrane-canton/AmdV6On2Den/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq 2.0 TDI SCR EVO Style 4x4 DSG,2023.0,144980.0,25690,Diesel,7-st. automatická,110.0,SUV,2026-08-10T06:56:44.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-4x4-dsg/AmFO4WSw31G/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / ALU 19''+ ALU 18'',2022.0,164051.0,27311,Diesel,Automatická,147.0,SUV,2026-08-08T10:25:52.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-alu-19-alu-18/Am7UJzBdzzx/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Webasto / Tažné / Matrix / Columbus / Race modrá,2023.0,131583.0,28053,Diesel,Automatická,147.0,SUV,2026-08-08T10:27:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-webasto-tazne-matrix-columbus-race-modra/AmfI4fd00DE/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Nezávislé topení / Tažné zařízení / Matrix LED / ...,2023.0,131908.0,28466,Diesel,Automatická,147.0,SUV,2026-08-08T12:30:22.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-nezavisle-topeni-tazne-zarizeni-matrix-led/AmvvPA8AEz-/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq 2.0 TDI 110kW DSG Sportline / ALU 19'',2024.0,160816.0,29194,Diesel,Automatická,110.0,SUV,2026-08-08T10:26:17.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-110kw-dsg-sportline-alu-19/AmJmrkddfZq/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Tažné zařízení / Nezávislé topení Webasto / Matri...,2023.0,111973.0,29497,Diesel,Automatická,147.0,SUV,2026-08-08T10:27:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-tazne-zarizeni-nezavisle-topeni-webasto-matri/AmtNKs8wXk5/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG,2022.0,117530.0,31690,Diesel,7-st. automatická,147.0,SUV,2026-08-10T08:01:33.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg/AmzW7ciSYkZ/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Sportline 2.0 TDI 147kW 4x4 DSG / ALU 19'',2023.0,124505.0,30075,Diesel,Automatická,147.0,SUV,2026-08-08T10:27:07.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-147kw-4x4-dsg-alu-19/AmcprvgXxaz/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Style 2.0 TDI 147 kW 4×4 DSG / Canton / Area View 360° / Tažné / Nezávislé tope...,2023.0,127384.0,30529,Diesel,Automatická,147.0,SUV,2026-08-08T10:27:18.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147-kw-44-dsg-canton-area-view-360-tazne-nezavisle-tope/Am2ZxngieBS/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Sportline 2.0 TDI 147kW 4x4 DSG / ALU 20''/ Tažné,2022.0,132512.0,30529,Diesel,Automatická,147.0,SUV,2026-08-08T10:27:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-147kw-4x4-dsg-alu-20-tazne/AmCWrGZs7EY/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq 2.0 TDI 147kW 4x4 DSG / Matrix Led / Tažné / ALU 18'',2023.0,112231.0,30611,Diesel,Automatická,147.0,SUV,2026-08-08T10:27:15.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-147kw-4x4-dsg-matrix-led-tazne-alu-18/Amy30h-nIre/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Sportline 2.0 TDI 147kW 4x4 DSG / El. výklopné tažné / Matrix-Beam / Kůže Suedi...,2022.0,130172.0,30900,Diesel,Automatická,147.0,SUV,2026-08-08T12:30:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-147kw-4x4-dsg-el-vyklopne-tazne-matrix-beam-kuze-suedi/AmJC7LxtcjS/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / ALU 18''+ ALU 17'',2023.0,95836.0,31601,Diesel,Automatická,147.0,SUV,2026-08-08T10:26:19.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-alu-18-alu-17/AmJmAdmqy7p/,Škoda Kodiaq 2.0 TDI,4
Škoda Kodiaq 2.0 TDI 147kW 4x4 DSG Style / Webasto / ALU 18''+ ALU 17'',2024.0,111589.0,32055,Diesel,Automatická,147.0,SUV,2026-08-08T10:26:03.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-147kw-4x4-dsg-style-webasto-alu-18-alu-17/AmYK-Mr4K-N/,Škoda Kodiaq 2.0 TDI,4
