title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page,kept,filter_reason
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110 kW150HP A7 WEBASTO TAZNE,2023,172000,23690,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-30T20:02:49.103Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110-kw150hp-a7-webasto-tazne/Ae5kK4yN2Ep/,3,True,
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2017,177000,21790,Diesel,Automatická,140,SUV / Off-road,2026-08-01T08:22:45.081Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AexzmuwFlAM/,3,True,
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020,137400,32900,Diesel,7-st. automatická,176,SUV / Off-road,2026-07-01T07:26:04.133Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/Ae_Yc8JdD-u/,3,True,
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2020,113000,23990,Diesel,Automatická,140,SUV / Off-road,2026-07-28T20:41:13.365Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeE3HWTL-Iq/,3,True,
Škoda Kodiaq Scout SUV 4x4 2.0 TDi 140kw AT 7,2020,77200,25900,Diesel,7-st. automatická,140,SUV,2026-06-30T20:25:01.555Z,https://www.autobazar.eu/detail/skoda-kodiaq-scout-suv-4x4-20-tdi-140kw-at-7/AeVuCs42yZY/,3,True,
Škoda Kodiaq 1.5 TSI ACT Sportline DSG 110kW150HP A7,2021,186000,23500,Benzín,7-st. automatická,110,SUV / Off-road,2026-06-30T05:40:49.076Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-dsg-110kw150hp-a7/AefNGBn7c3h/,3,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,2021,68300,29999,Diesel,7-st. automatická,147,SUV / Off-road,2026-07-27T15:51:43.606Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/AewC-L76nJf/,3,True,
Škoda Kodiaq 2.0 TDI SCR Ambition DSG 110kW150HP A7,2020,158800,21990,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-27T13:08:59.261Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg-110kw150hp-a7/AeOzeRCjmTp/,3,True,
Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,2022,102000,28500,Diesel,7-st. automatická,147,SUV / Off-road,2026-07-27T07:26:27.609Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/Aeo0mdiZG5G/,3,True,
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2021,160000,22190,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-27T06:39:29.160Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/Ae-oG16aRFS/,3,True,
Škoda Kodiaq  2.0 TSI RS 4x4 DSG 180kW/245HP A7,2024,40000,41000,Benzín,7-st. automatická,180,SUV / Off-road,2026-06-29T06:29:37.225Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tsi-rs-4x4-dsg-180kw-245hp-a7/AeEndxo17-s/,4,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR Style DSG 4x4 110kW150HP A7,2018,196200,19899,Diesel,Automatická,110,SUV / Off-road,2026-07-26T18:12:46.824Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg-4x4-110kw150hp-a7/AeSxmRccWw6/,4,True,
Škoda Kodiaq 1.5 TSI 110kw Ambition DSG-7,2021,77210,27500,Benzín,7-st. automatická,110,SUV / Combi,2026-08-04T15:48:58.902Z,https://www.autobazar.eu/detail/skoda-kodiaq-2021/AePEX8i2N3t/,4,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2023,85200,35490,Diesel,Automatická,147,SUV / Off-road,2026-07-28T08:05:57.490Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae1IsmNPuTJ/,4,True,
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2018,114200,21600,Diesel,7-st. automatická,140,SUV / Off-road,2026-07-05T11:55:11.135Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AecQZ_n2wBT/,4,True,
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2017,203000,17800,Diesel,Automatická,140,SUV / Off-road,2026-07-21T15:04:36.195Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeoN5sziqj7/,4,True,
Škoda Kodiaq 1.5 TSI ACT Ambition DSG 110kW150HP A7,2021,97600,21600,Benzín,Automatická,110,SUV / Off-road,2026-08-08T13:18:08.368Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-ambition-dsg-110kw150hp-a7/AebnV1zhyxJ/,4,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG 147kW201HP A7,2021,90150,30190,Diesel,Automatická,147,SUV / Off-road,2026-08-06T19:59:45.408Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg-147kw201hp-a7/AeZw5jBniGq/,4,True,
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020,169000,26490,Diesel,7-st. automatická,176,SUV / Off-road,2026-07-18T12:52:17.953Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/AeSzuwP3Q90/,4,True,
Škoda Kodiaq 2025 Śkoda Kodiaq Sportline 2.0 TDI 4x4 - Fully loaded,2025,13000,47000,Diesel,Automatická,142,SUV / Combi,2026-07-20T06:16:28.610Z,https://www.autobazar.eu/detail/skoda-kodiaq-2025-skoda-kodiaq-sportline-20-tdi-4x4-fully-loaded/AeyfUh8YgtI/,4,True,
Škoda Kodiaq 7 miestne top stav bez škrabancov 2 sady pneu letne zimné,2023,68500,27999,Diesel,Automatická,110,SUV,2026-07-17T15:03:35.785Z,https://www.autobazar.eu/detail/skoda-kodiaq-2023/AeZVReqsDMa/,4,True,
Škoda Kodiaq 2.0 TDI SCR 190k Scout 4x4 DSG 140kW190HP A7,2020,148000,25900,Diesel,7-st. automatická,140,SUV / Off-road,2026-08-08T16:09:14.950Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-scout-4x4-dsg-140kw190hp-a7/AeiAX4qS7CE/,4,True,
